id,age,income,gender,education,spend_score,customer_since,is_active
47,56,28110,F,Master's,16.487267224437517,2015-12-28,True
48,35,99309,Non-binary,Master's,25.77404691829494,2002-12-31,True
49,21,47266,M,Bachelor's,55.373439805905925,2010-12-29,False
50,42,72992,M,Associate,71.74499634730617,2007-12-30,True
51,31,102948,M,High School,66.3595402950554,2017-12-27,True
52,67,142073,Non-binary,PhD,28.71345579764834,2010-12-29,False
53,26,118806,F,High School,95.53166278565621,2007-12-30,True
54,43,26910,F,Associate,74.05179475288108,2005-12-30,False
55,19,130989,M,PhD,55.88105119862867,2012-12-28,True
56,37,110982,F,Associate,61.560353877200875,2018-12-27,False
57,45,141626,F,Master's,42.5404061803512,2017-12-27,False
58,64,139176,Non-binary,PhD,25.525367960614588,2013-12-28,False
59,24,20206,Non-binary,Master's,36.2412951864749,2014-12-28,True
60,61,107054,Non-binary,High School,76.02676493597254,2019-12-27,False
61,25,107897,Non-binary,High School,2.424955374345831,2003-12-31,True
62,64,142409,M,PhD,12.491191410184708,2001-12-31,True
63,52,43419,Non-binary,PhD,5.554261560153522,2010-12-29,True
64,31,70636,F,Associate,5.032151429578043,2018-12-27,True
65,34,142546,M,Associate,85.69059781708971,2019-12-27,False
66,53,134238,F,Master's,70.66212807862235,2002-12-31,False
67,67,70015,F,PhD,47.94320907964519,2019-12-27,True
68,57,137478,F,High School,10.685581904449146,2021-12-26,True
69,21,142096,Non-binary,Associate,49.6699716365664,2014-12-28,False
70,19,127059,Non-binary,Associate,47.873705307276005,2005-12-30,True
71,23,74268,M,High School,18.146985121091504,2011-12-29,False
72,59,130687,M,Associate,43.95131327455933,2019-12-27,True
73,21,107939,Non-binary,Master's,40.45196870533997,2008-12-29,True
74,46,38141,F,PhD,61.96915970716943,2005-12-30,False
75,35,100356,M,High School,63.87427143589674,2012-12-28,True
76,43,125878,Non-binary,PhD,5.4850969674324075,2003-12-31,False
77,61,91910,Non-binary,Associate,38.08664884802065,2001-12-31,True
78,51,76044,Non-binary,Associate,62.960131655709404,2021-12-26,True
79,27,87214,F,High School,50.810489599428685,2009-12-29,True
80,53,137930,Non-binary,Master's,85.79249427764391,2009-12-29,False
81,31,139324,Non-binary,Bachelor's,66.21066953027555,2016-12-27,True
82,48,53827,Non-binary,High School,17.130508281061537,2013-12-28,True
83,65,75820,Non-binary,Bachelor's,7.986305992642555,2010-12-29,True
84,32,82623,M,Bachelor's,64.59950854242524,2007-12-30,True
85,25,101734,M,Master's,3.6246197436205594,2008-12-29,False
86,31,95450,Non-binary,Bachelor's,58.99178254607287,2010-12-29,False
87,40,113426,F,Bachelor's,94.0827939010708,2015-12-28,True
88,57,137845,M,Master's,57.971943609712014,2004-12-30,False
89,38,42299,Non-binary,Bachelor's,39.42882269444567,2005-12-30,True
90,33,63585,M,Bachelor's,64.68553362579297,2012-12-28,True
91,62,129225,M,Bachelor's,46.36703615866015,2011-12-29,True
92,35,84044,F,High School,55.01606214227756,2006-12-30,False
93,64,62557,Non-binary,High School,94.20501606887599,2008-12-29,False
94,41,69080,Non-binary,High School,39.22416114227665,2007-12-30,False
95,43,129556,F,Master's,96.1578658185675,2016-12-27,False
96,42,22693,F,Associate,90.6297135536503,2000-12-31,False
97,62,115003,Non-binary,Bachelor's,20.383322344140346,2003-12-31,False
98,58,115259,Non-binary,Bachelor's,7.86676878664138,2003-12-31,False
99,46,132235,F,Master's,10.977022136365239,2004-12-30,False
100,32,89163,M,Bachelor's,2.803960739503423,2017-12-27,False
